meanGamma,meanAlpha,meanTheta
4.1689072,0.8969373,0.3207921
3.8949052,0.9060143,0.3167388
4.1085862,0.9446996,0.3172443
4.0582975,0.927956,0.3058128
3.933515,0.9783942,0.3190732
3.9248261,0.9310581,0.2913498
4.010837,0.9007509,0.3416066
3.9076423,0.9080448,0.3223649
3.7087971,0.8715208,0.299364
4.0181576,0.8902191,0.3031688
3.8556701,0.80373,0.3358741
3.6709745,0.9360169,0.3196
4.1128141,0.9321773,0.3179443
3.8323749,0.856703,0.3383686
3.8385901,0.8568729,0.3001039
3.7152227,1.0060456,0.3151417
3.9505265,0.9024122,0.32403
4.1544689,0.9289984,0.3338105
4.0975379,0.9750807,0.2965675
4.0530016,0.9470616,0.3108834
3.8456668,0.9314365,0.3374056
3.909129,0.9376385,0.3240452
3.8976642,0.9729079,0.3285207
4.289669,0.8969886,0.3145658
4.1436092,0.9506832,0.3234714
4.0186521,0.909789,0.3325123
4.1634099,0.8734418,0.3054552
3.9354317,0.8817818,0.3047471
3.992563,0.9650609,0.3302427
4.1093252,0.9875999,0.3305206
3.6861972,0.9149752,0.3214477
3.8842319,0.8778101,0.3253268
4.0116782,0.8513221,0.3312115
3.94783,0.9716714,0.3087054
3.8912476,0.9652035,0.3214481
4.0709038,0.9904406,0.3274607
3.9926892,0.910497,0.3280323
4.0154482,0.9178442,0.3209122
3.765769,0.9258992,0.3261464
4.1487945,0.8705382,0.3297635
3.8970174,0.8509809,0.3389618
4.0434923,0.9403188,0.3159055
3.9609915,0.9412909,0.3105715
3.9360326,0.8888828,0.2997113
3.9084134,0.9598401,0.2979457
3.9026692,0.9964806,0.3265202
3.7714206,0.8041211,0.338221
3.7829821,0.9452279,0.3171507
4.0992956,0.9759547,0.3059188
3.8964077,0.9544452,0.3104862
3.8634161,0.9013937,0.331036
3.867173,0.8711477,0.3066563
3.7285969,0.9609162,0.3309988
3.789584,0.9575101,0.3304182
4.0282571,0.8866522,0.3190891
3.8230493,0.8839253,0.3246479
4.0974789,0.8710483,0.3346834
3.6652653,0.8639914,0.3224298
4.2513681,0.9341664,0.3455762
3.9845752,1.0059323,0.3155221
3.8763906,0.894358,0.3173494
3.7369569,0.8812805,0.3252175
3.9606715,0.8911612,0.3281723
3.7899383,0.966478,0.3389036
3.8190534,0.9040737,0.3376538
3.9324368,0.886826,0.3174627
3.8773178,0.9703721,0.3095673
3.9180864,0.9496699,0.3209448
3.8463663,0.8941149,0.3013439
3.8475059,0.9046127,0.3183672
3.8417914,0.8898784,0.3235047
3.912812,0.9225399,0.3192032
3.6218549,0.9896296,0.3250669
4.0871075,0.9057033,0.3306123
4.0206371,0.9763793,0.3128555
3.7907909,0.962719,0.3089861
3.9703021,0.9511162,0.3225708
3.8308029,0.9029043,0.3193203
3.7757708,0.9442031,0.2986149
3.6999773,0.9392736,0.3186445
3.7917668,0.9595796,0.3038141
4.0121413,0.9731799,0.3228981
4.022122,1.035972,0.310443
3.8509865,0.9532703,0.3189556
3.7286987,0.9575298,0.3198302
3.8495554,0.8487774,0.3289863
3.8592786,0.909685,0.3282537
3.9443166,0.9491234,0.3077711
4.0724166,0.8840486,0.3327144
3.913725,0.9240366,0.3256082
3.8700857,0.8321117,0.3192599
3.8904958,0.8758466,0.3317279
3.8098915,0.8095619,0.3049297
3.6360314,0.8916581,0.322617
3.7616114,0.9402521,0.2869905
3.8216272,0.9214588,0.3204977
4.2031073,0.9257819,0.3245029
3.7055437,0.8625744,0.3259605
3.6256935,0.9768045,0.3175216
4.1376222,0.8967508,0.3291496
3.9665201,0.9027897,0.3372198
4.1622274,0.9411432,0.2983068
3.721122,0.9754446,0.3249767
4.0882147,0.8385446,0.3096835
3.6619158,0.8856126,0.3325186
3.8312799,0.9074703,0.3147019
3.6759503,0.9030822,0.3224874
3.6833625,0.8187252,0.3199975
3.8421935,0.9241884,0.3269109
4.3427711,0.9274015,0.3368376
3.5385961,0.9226189,0.3396268
3.9315946,0.8421089,0.3212554
3.9066039,0.9796503,0.3263102
4.0209657,0.8825751,0.3227517
3.9059183,0.9536504,0.3137871
4.0386079,0.9848524,0.3213873
3.9056681,0.9273287,0.3163177
4.041105,0.8777112,0.3179535
3.979256,0.9628895,0.3117298
3.9046278,0.9226522,0.3212162
4.1664558,0.9384583,0.3259545
3.8343968,0.9945601,0.3273949
3.7003953,0.8957377,0.3264517
3.9249878,0.8035925,0.3062809
3.9329091,0.8731611,0.316855
3.8355715,0.8660302,0.3252935
3.4151114,0.9045504,0.3220254
4.356131,0.9514786,0.3262068
3.8516554,0.9290988,0.3050545
4.1550192,0.9295857,0.3163561
4.1353392,0.8560879,0.3054492
4.2580766,0.9928387,0.3319597
3.9742129,0.9716523,0.3310362
3.868936,0.9042384,0.3234692
3.7763646,0.9101955,0.3277912
3.7232028,0.9552738,0.3094226
3.847114,0.9248022,0.3349716
3.9343662,0.8803116,0.3056636
4.033005,0.9601255,0.3093578
3.769324,0.9577788,0.3368765
3.954727,0.9097295,0.3148534
3.7083008,0.8702257,0.320338
3.3893837,0.9203487,0.3156889
4.1560303,0.9764419,0.3259888
3.7018793,0.8688801,0.320865
3.7064584,0.8474655,0.32611
3.6295654,0.8745384,0.3158845
3.8220189,0.9494234,0.3097149
4.1635896,0.9601635,0.3151496
3.9707646,0.9502807,0.3127034
4.3043979,0.9886542,0.3155799
3.8383372,0.8695912,0.3165684
4.0690902,0.8744009,0.3318884
3.9365949,0.8943997,0.3222867
4.1915901,1.010656,0.3132701
4.0287289,0.9466972,0.3069729
4.1535284,0.9223709,0.3260829
3.6415116,0.9395593,0.3494867
4.1550004,0.9259585,0.3246628
4.307565,0.9552815,0.3205515
4.0676455,0.91597,0.3464284
3.5769699,0.9253515,0.312618
3.7393714,0.9220615,0.2959222
4.0141801,0.9496285,0.3198997
3.8067336,0.9381354,0.3297675
3.7582211,0.9222614,0.3196655
3.9478593,0.9687556,0.3222372
3.8027718,0.9222475,0.3451522
3.8887062,0.9540404,0.3093149
4.2380833,0.9151965,0.3241863
4.0044733,0.8582255,0.3518076
4.263657,0.9750588,0.3110733
3.4809894,0.9050494,0.308471
3.7685456,0.9167465,0.313669
3.8528636,0.9048359,0.3283178
3.7974328,0.918855,0.3165734
3.8463889,0.9300678,0.3138232
3.8225341,0.8767095,0.3290654
4.2384206,0.8969283,0.325765
3.8985398,0.9475386,0.3127425
3.7268381,0.8717411,0.2884235
3.8926913,0.9458517,0.2985069
3.8477896,0.8799975,0.3225531
3.9101487,0.9327153,0.3191308
3.749104,0.9530391,0.3055417
3.7687087,0.9354363,0.326328
3.9433171,0.9599569,0.297273
4.1651354,1.0101237,0.3388597
3.7301531,0.9035072,0.3311992
3.8301728,0.8939276,0.3213775
3.9264491,0.9235254,0.3234712
4.0799937,0.8620931,0.3291857
3.9150716,0.9613617,0.3131704
3.7550671,0.9297,0.3398585
3.8959029,0.9534239,0.3256318
3.9997711,0.9676281,0.3098071
3.9575265,0.8632263,0.3288424
3.9748039,0.8664401,0.3352229
3.8635401,0.9302202,0.3178676
3.9384752,0.9490238,0.3182052
