run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
1,4.1689072,0.8969373,0.3207921,0.22673408,0.092832972,0.009793145,-2.73E-02,3.06E-03,-6.10E-05,0.9686864,0.8781216,0.9798936
2,3.8949052,0.9060143,0.3167388,0.169895,0.07658066,0.01251826,-0.029460434,-0.005465583,0.001226882,0.9593727,0.9077281,0.9664048
3,4.1085862,0.9446996,0.3172443,0.211812931,0.079983128,0.009037723,0.009616673,-0.002921446,0.000458231,0.9603183,0.8085857,0.9856085
4,4.0582975,0.927956,0.3058128,0.25047179,0.0946433,0.01203039,0.071212065,0.0167095,-0.001269924,0.9414638,0.8937784,0.9618665
5,3.933515,0.9783942,0.3190732,0.2861101,0.09954857,0.01343103,0.097881746,0.042516293,-0.004816243,0.9210713,0.9218597,0.9743371
6,3.9248261,0.9310581,0.2913498,0.270984594,0.084374071,0.009375564,0.022570907,0.03321517,-0.004357191,0.9270199,0.9218188,0.9903637
7,4.010837,0.9007509,0.3416066,0.23259221,0.09936692,0.0128565,-0.038451426,-0.008793557,0.001090972,0.9103257,0.9083276,0.9765362
8,3.9076423,0.9080448,0.3223649,0.24003152,0.10326778,0.01451494,-0.05645449,-0.01884208,0.002339802,0.9325911,0.7652261,0.9639026
9,3.7087971,0.8715208,0.299364,0.27584191,0.10622888,0.01211745,-0.045246231,-0.026303203,0.003967461,0.9213156,0.8239627,0.9216304
10,4.0181576,0.8902191,0.3031688,0.2583749,0.1018695,0.0112705,-0.095175511,-0.034045177,0.003581184,0.9427255,0.871746,0.9792765
11,3.8556701,0.80373,0.3358741,0.24057881,0.08170667,0.01029376,-0.111757466,-0.052042496,0.007199828,0.9530616,0.8496003,0.9904198
12,3.6709745,0.9360169,0.3196,0.22945825,0.09343567,0.01448083,-0.036590153,-0.001464413,0.000580367,0.9306934,0.8955013,0.9568121
13,4.1128141,0.9321773,0.3179443,0.24093164,0.07714439,0.01325226,0.089054393,0.020752158,-0.001834532,0.9565201,0.924008,0.9665304
14,3.8323749,0.856703,0.3383686,0.25586405,0.12425575,0.01689848,0.001784244,0.011646059,0.000129458,0.9630097,0.8761457,0.9644025
15,3.8385901,0.8568729,0.3001039,0.165972974,0.069130953,0.008603726,0.021551383,0.011272417,-0.001084085,0.9733602,0.9449531,0.9834481
16,3.7152227,1.0060456,0.3151417,0.22609304,0.10791483,0.01204935,0.049891488,0.032423952,-0.002491482,0.9564962,0.8658326,0.9748784
17,3.9505265,0.9024122,0.32403,0.23980514,0.08716366,0.01138529,0.048440926,0.007008531,-0.000195857,0.8610686,0.7953573,0.9896735
18,4.1544689,0.9289984,0.3338105,0.33166055,0.13623062,0.01622819,0.004008715,0.008192462,-0.000497174,0.8975397,0.8056992,0.9687819
19,4.0975379,0.9750807,0.2965675,0.147859662,0.060650715,0.007666324,0.039722697,0.017083214,-0.001709565,0.9626314,0.9096417,0.9903737
20,4.0530016,0.9470616,0.3108834,0.26855239,0.09050843,0.01145025,0.036408816,0.005857191,-0.000535707,0.9516152,0.821525,0.9632201
21,3.8456668,0.9314365,0.3374056,0.28353946,0.13045037,0.01728325,0.062210564,0.031913515,-0.004275098,0.9085711,0.8651265,0.9299098
22,3.909129,0.9376385,0.3240452,0.2688275,0.1290834,0.017029,0.033807288,0.009554815,0.000650396,0.9284663,0.8577448,0.8946013
23,3.8976642,0.9729079,0.3285207,0.25355862,0.10159372,0.01316202,0.012367931,0.025740378,-0.003435308,0.9487478,0.8897774,0.9745118
24,4.289669,0.8969886,0.3145658,0.26501974,0.09655455,0.01132641,0.020255743,0.004183195,-0.000783338,0.9298379,0.8473421,0.9777903
25,4.1436092,0.9506832,0.3234714,0.35215672,0.10922611,0.01184463,0.118415146,0.022920207,-0.000468108,0.9594946,0.6938423,0.9683765
