Exp1,Exp2,Exp3,Exp4,Exp5
0.7849535,0.945407,0.8969373,0.9791706,1.7275556
0.9445999,0.9257687,0.9060143,0.9363501,2.1495415
1.8961778,0.990616,0.9446996,0.8884329,1.3794871
0.7856688,0.8599269,0.927956,1.102369,1.5589978
0.79427,0.9237193,0.9783942,0.9258506,2.235005
2.4395019,0.9045215,0.9310581,0.9488491,1.862281
1.1036958,0.9383762,0.9007509,0.8298598,1.4940136
2.7857846,1.1118952,0.9080448,0.8595876,1.9661117
1.0087697,1.0191608,0.8715208,0.8790869,1.0104722
2.465227,0.8514196,0.8902191,0.826047,2.0167997
1.0144424,0.9447121,0.80373,0.9919618,1.646378
0.981713,0.9882801,0.9360169,0.7696976,1.6155215
1.4686255,0.8786959,0.9321773,0.8238153,1.7066333
1.6516545,0.8633428,0.856703,1.1013709,1.7421317
1.0736231,0.8780905,0.8568729,0.9887754,2.1233779
3.1716096,0.9464848,1.0060456,0.9754564,1.5632798
0.8450572,1.0629848,0.9024122,1.1632561,2.2777281
1.1118032,0.8638125,0.9289984,0.9728462,1.9833573
0.7837443,0.9032319,0.9750807,0.9260468,2.0820152
2.9473537,0.8400859,0.9470616,0.9784768,1.5274483
3.7163346,0.9164231,0.9314365,0.8061165,2.7062402
0.8976614,0.9556766,0.9376385,0.9659683,1.8468828
2.9420937,1.004387,0.9729079,0.8396123,1.3705619
2.0573072,0.9905891,0.8969886,1.0868816,1.9216058
1.1835525,0.9133152,0.9506832,0.9171161,1.9476614
1.7531987,0.9064965,0.909789,1.0137487,2.3801597
3.318057,0.828256,0.8734418,0.8002386,1.915229
3.2075483,0.9484557,0.8817818,0.9245452,1.845328
0.9383993,1.0891491,0.9650609,0.78982,1.8381958
2.5176916,0.8881221,0.9875999,0.8220952,2.3323099
2.8032048,1.0743595,0.9149752,0.937683,2.222359
1.6718453,0.8864431,0.8778101,0.9334953,2.3647404
1.3175625,0.8270684,0.8513221,0.8861788,1.7966708
1.5357972,0.9241671,0.9716714,0.9564352,2.7984666
1.2094674,0.933912,0.9652035,1.0337044,2.5902655
2.3451054,0.9885011,0.9904406,1.0812965,1.3130052
1.5386467,0.9555276,0.910497,1.0060058,2.3263748
0.7855813,0.9011993,0.9178442,0.9405794,2.0232539
2.7841,0.8362458,0.9258992,1.0700298,2.084059
2.0088166,0.8883222,0.8705382,0.8125677,2.049777
1.4103698,0.8994416,0.8509809,0.9315071,1.7596725
1.3804536,0.8614568,0.9403188,1.1231156,1.7617269
2.0231979,0.8614825,0.9412909,0.9085194,1.6591564
4.1976265,1.055967,0.8888828,0.8763437,2.2625964
1.2254265,0.979059,0.9598401,0.873771,2.8540195
3.8129041,0.963253,0.9964806,0.7446808,2.4996802
1.1056849,1.0136788,0.8041211,0.9912194,1.3795256
1.0479692,1.0065154,0.9452279,0.9139079,1.5110303
0.8142102,0.8940019,0.9759547,0.765382,1.675011
0.8834496,0.8849932,0.9544452,1.0436111,2.1342404
2.1744383,0.9606476,0.9013937,0.8835208,2.4034784
3.752872,1.0228073,0.8711477,0.9393069,2.590264
0.9513221,0.87676,0.9609162,0.8650163,1.6232351
0.9090293,1.0448135,0.9575101,0.8406478,1.333237
1.5855446,0.9008168,0.8866522,0.8239887,2.553153
0.9664714,0.9904474,0.8839253,1.0007521,2.0348216
2.8605913,0.9327482,0.8710483,0.9267221,1.9470608
0.8087182,0.9125324,0.8639914,0.9927648,1.0992199
2.0443958,1.0146622,0.9341664,0.7693372,1.4676151
1.2592292,1.2906384,1.0059323,0.8738365,1.7743854
1.2488831,0.9912089,0.894358,0.939006,1.2928061
2.3070696,1.0411295,0.8812805,0.9300085,3.054199
2.0599727,0.8448083,0.8911612,0.9095511,2.2254533
1.3940261,0.9401012,0.966478,0.9950793,2.7461646
0.8182732,1.0818987,0.9040737,1.0604801,2.5728354
3.76469901,0.8733685,0.886826,0.9608745,1.8449971
1.9648643,0.9467245,0.9703721,0.941264,2.0577226
0.833364,0.9937526,0.9496699,0.9281484,2.2393927
1.036613,0.9286914,0.8941149,0.8839941,1.906701
2.3043149,0.8783022,0.9046127,0.7422686,1.8959114
2.8859051,0.9134604,0.8898784,0.8081309,1.7782338
2.7822777,0.972539,0.9225399,0.94811,1.9164031
2.2413017,0.993929,0.9896296,0.8605937,1.6471427
2.4935379,0.9403718,0.9057033,0.8009116,1.3654949
1.3157022,0.9137036,0.9763793,0.8607433,1.3752111
1.0857187,1.2282338,0.962719,0.8371183,2.2155458
