Exp1,Exp2,Exp3,Exp4,Exp5
3.7011142,4.0885236,4.1689072,3.627505,4.2674486
3.877183,3.6450568,3.8949052,4.0786983,4.5093761
4.7025512,3.7738394,4.1085862,3.9913198,4.1224076
3.5956038,3.8097619,4.0582975,4.461024,4.0953788
3.7408062,3.8713373,3.933515,4.2854184,4.2608808
5.5518438,4.0228165,3.9248261,3.9033441,4.213884
3.8642509,3.7159008,4.010837,3.9230397,4.1154257
5.4456914,4.0222485,3.9076423,3.8271486,4.3203759
4.0925914,4.1632302,3.7087971,3.6897609,3.9224797
4.969219,3.5620421,4.0181576,3.470562,4.5810738
4.0564767,3.666989,3.8556701,3.4959216,4.537551
4.2261973,3.92398,3.6709745,3.530215,4.4798516
4.2878947,3.8974074,4.1128141,3.9724895,4.8403601
4.8995444,3.9077542,3.8323749,3.9421075,4.6610433
4.1486702,3.8081209,3.8385901,3.8739522,5.0551036
4.7555286,4.0792447,3.7152227,4.2437851,4.3367429
4.2272138,4.2509521,3.9505265,4.2958809,4.2792586
4.1165831,3.6176797,4.1544689,3.2731031,4.3019293
3.2808039,4.271816,4.0975379,4.1478432,4.9901761
5.3196594,3.8135714,4.0530016,4.1192571,4.1729985
4.8960319,4.0831852,3.8456668,4.1681653,4.779311
3.6915471,3.7299066,3.909129,3.661158,4.5769585
4.6298397,4.5508499,3.8976642,4.1896278,4.1739986
3.8271084,4.0370636,4.289669,4.3246303,4.3348291
4.2862285,4.0177878,4.1436092,3.1183736,4.6070175
4.6585974,3.9025317,4.0186521,3.7231733,4.6098222
5.6691112,3.7481235,4.1634099,4.0173564,4.3779947
5.8194146,3.9395576,3.9354317,4.1077645,4.496705
3.9498768,4.3584728,3.992563,3.7686422,4.3073046
4.8643776,3.8762115,4.1093252,3.4875632,4.5307141
4.4285534,4.2065493,3.6861972,3.493855,4.616278
4.1060394,3.9683301,3.8842319,3.6666324,4.6106808
4.5963814,3.5043374,4.0116782,3.7950096,4.3163714
4.107851,3.9596681,3.94783,3.971974,5.1375663
