Exp1,Exp2,Exp3,Exp4,Exp5
0.3398263,0.2999703,0.3207921,0.2657047,0.2863088
0.322965,0.2964096,0.3167388,0.3298984,0.2599688
0.2606198,0.3179272,0.3172443,0.3072789,0.2950616
0.3668531,0.3230389,0.3058128,0.301005,0.2929806
0.3496981,0.2983486,0.3190732,0.3093624,0.2282053
0.2483372,0.3364777,0.2913498,0.2905507,0.264571
0.2909233,0.3325069,0.3416066,0.3074317,0.2815667
0.2362489,0.3209177,0.3223649,0.3235123,0.2836301
0.3377812,0.3151424,0.299364,0.3459141,0.3036983
0.255486,0.3106066,0.3031688,0.3366237,0.2485306
0.3354884,0.3157127,0.3358741,0.3579823,0.272434
0.2999007,0.3287372,0.3196,0.318651,0.2782625
0.2974459,0.3262555,0.3179443,0.2981682,0.2710529
0.2675252,0.3073532,0.3383686,0.3005617,0.2823837
0.3033616,0.3176617,0.3001039,0.3233717,0.2675812
0.1709812,0.3370935,0.3151417,0.355392,0.2955423
0.3293627,0.3156276,0.32403,0.3373421,0.2545091
0.3056631,0.3319214,0.3338105,0.3439312,0.2678811
0.3566172,0.3224611,0.2965675,0.3462755,0.2579975
0.1596625,0.3315112,0.3108834,0.3245111,0.2917551
0.1625024,0.3478479,0.3374056,0.3469651,0.2086631
0.3339386,0.3224432,0.3240452,0.3148628,0.2743211
0.2063383,0.3209513,0.3285207,0.315639,0.2876518
0.2291679,0.3242435,0.3145658,0.3246312,0.2492697
0.3127451,0.3317834,0.3234714,0.3139926,0.2631275
0.2491865,0.3269918,0.3325123,0.3168328,0.2376069
0.2095238,0.3196905,0.3054552,0.3640801,0.2421663
0.1659389,0.3238804,0.3047471,0.3216657,0.285501
0.3184835,0.3042035,0.3302427,0.2773866,0.2515158
0.2313892,0.3175633,0.3305206,0.3468827,0.2403139
0.2038113,0.3096384,0.3214477,0.2886684,0.243793
0.2571347,0.3180921,0.3253268,0.331414,0.2508508
0.2885971,0.3191826,0.3312115,0.3008903,0.2759277
0.2704122,0.3318237,0.3087054,0.3125069,0.2001012
0.2880555,0.3116474,0.3214481,0.3325868,0.2257606
0.2142847,0.3209562,0.3274607,0.2988409,0.3084982
0.2846562,0.3247024,0.3280323,0.3288227,0.2425025
0.3571777,0.3213083,0.3209122,0.29591,0.2430528
0.205799,0.3047079,0.3261464,0.2906582,0.245264
0.2261262,0.3487303,0.3297635,0.3419146,0.255535
0.3326424,0.3285676,0.3389618,0.323101,0.2857408
0.2890906,0.3208755,0.3159055,0.3210197,0.2644769
0.2364125,0.3038074,0.3105715,0.3426375,0.2959254
0.1065844,0.314145,0.2997113,0.3425188,0.2389508
0.2978057,0.3191016,0.2979457,0.3145597,0.2065686
0.2044335,0.3095317,0.3265202,0.3230317,0.2327246
0.3011555,0.3229351,0.338221,0.3499393,0.3016907
0.3280174,0.3253191,0.3171507,0.3148576,0.2846268
0.3118792,0.3292761,0.3059188,0.3246417,0.275631
0.3420242,0.3161135,0.3104862,0.2621388,0.2464003
0.2526495,0.3172584,0.331036,0.3122675,0.2285055
0.1799894,0.3167852,0.3066563,0.2927167,0.230158
0.3257347,0.3128078,0.3309988,0.3176598,0.2889618
0.3259904,0.3160925,0.3304182,0.3125427,0.3160191
0.2740404,0.2950367,0.3190891,0.3114433,0.212425
0.3585754,0.302894,0.3246479,0.3329841,0.2551071
0.2152472,0.3058317,0.3346834,0.3025714,0.2529461
0.3488056,0.3047867,0.3224298,0.321244,0.3248066
0.2738031,0.3360934,0.3455762,0.3567428,0.3091397
0.2903812,0.2950342,0.3155221,0.3540379,0.2672268
0.2958214,0.3169142,0.3173494,0.3316511,0.3177241
0.2605158,0.3143767,0.3252175,0.2763291,0.222791
0.2458527,0.3248999,0.3281723,0.3068813,0.2516415
0.2840101,0.3225322,0.3389036,0.3312895,0.2138715
0.3603287,0.3133735,0.3376538,0.2710621,0.2338632
0.07090861,0.2974772,0.3174627,0.3347213,0.2631157
0.2562433,0.3101847,0.3095673,0.327966,0.2577999
0.3487901,0.3145223,0.3209448,0.334452,0.2549706
0.3343268,0.3115318,0.3013439,0.2720686,0.2674094
0.2754952,0.3202923,0.3183672,0.313271,0.2637275
0.1963417,0.3387956,0.3235047,0.3074918,0.2792496
0.2202878,0.317899,0.3192032,0.3014075,0.2839098
0.2270856,0.3241904,0.3250669,0.3305855,0.2851569
0.2698092,0.3066932,0.3306123,0.3242367,0.3020594
0.3035062,0.3165169,0.3128555,0.3672509,0.3003915
0.3183734,0.2908642,0.3089861,0.3245101,0.2371131
0.3128618,0.3069559,0.3225708,0.3398105,0.260974
0.2946803,0.2995779,0.3193203,0.3357514,0.2673535
0.1192456,0.3266456,0.2986149,0.2923549,0.3273154
0.302213,0.3219897,0.3186445,0.2947084,0.272937
0.2737702,0.3214901,0.3038141,0.3478437,0.2191312
0.1946423,0.3186834,0.3228981,0.3467832,0.2446253
0.1845726,0.2925636,0.310443,0.3285254,0.2835791
0.2573331,0.3266851,0.3189556,0.3256024,0.2473693
0.3347559,0.3441902,0.3198302,0.3256031,0.2701709
0.3160933,0.3212497,0.3289863,0.3151797,0.239743
0.2682519,0.3078274,0.3282537,0.2998294,0.2158133
0.3237463,0.3378004,0.3077711,0.334243,0.2762268
0.2622599,0.3302492,0.3327144,0.3600795,0.2649426
0.09017876,0.3063823,0.3256082,0.360894,0.2285797
0.2689384,0.3084941,0.3192599,0.3176977,0.2902299
0.3191969,0.3281614,0.3317279,0.3691072,0.2441089
0.2465318,0.3205745,0.3049297,0.3417257,0.2460126
0.3307343,0.3013839,0.322617,0.3030418,0.2455975
