CExp1,HExp1,CExp2,HExp2,CExp3,HExp3,CExp4,HExp4,CExp5,HExp5
0.7849535,0.693447388,0.945407,0.800690681,0.8969373,0.84347526,0.9791706,0.978602652,1.7275556,0.716347989
0.9445999,0.681704599,0.9257687,0.775035606,0.9060143,0.831500879,0.9363501,0.855103033,2.1495415,0.724087988
1.8961778,0.734615841,0.990616,0.775859153,0.9446996,0.847627511,0.8884329,0.877195705,1.3794871,0.720302133
0.7856688,0.706750236,0.8599269,0.778323587,0.927956,0.827572203,1.102369,0.978959831,1.5589978,0.723994653
0.79427,0.754975404,0.9237193,0.770966396,0.9783942,0.878233756,0.9258506,0.895217172,2.235005,0.70197358
2.4395019,0.764299461,0.9045215,0.816131527,0.9310581,0.811238934,0.9488491,0.938943719,1.862281,0.717412443
1.1036958,0.771867041,0.9383762,0.80502343,0.9007509,0.838123887,0.8298598,0.862857687,1.4940136,0.707430576
2.7857846,0.726432574,1.1118952,0.797937115,0.9080448,0.876796012,0.8595876,0.94393032,1.9661117,0.743340747
1.0087697,0.765915507,1.0191608,0.77086003,0.8715208,0.808431882,0.8790869,0.836156224,1.0104722,0.695640795
2.465227,0.763357658,0.8514196,0.73956026,0.8902191,0.843713179,0.826047,0.872474661,2.0167997,0.718314496
1.0144424,0.744362948,0.9447121,0.791828048,0.80373,0.814911578,0.9919618,0.921784126,1.646378,0.692923223
0.981713,0.656197521,0.9882801,0.797637008,0.9360169,0.794554921,0.7696976,0.92882505,1.6155215,0.725343874
1.4686255,0.707919549,0.8786959,0.77076253,0.9321773,0.862700104,0.8238153,0.894362794,1.7066333,0.705196947
1.6516545,0.682109534,0.8633428,0.754569029,0.856703,0.841550234,1.1013709,0.866029968,1.7421317,0.700974778
1.0736231,0.699215503,0.8780905,0.775634769,0.8568729,0.868809238,0.9887754,0.998236851,2.1233779,0.718564262
3.1716096,0.708800933,0.9464848,0.740806613,1.0060456,0.872329569,0.9754564,0.96149041,1.5632798,0.747275725
0.8450572,0.692553653,1.0629848,0.792815936,0.9024122,0.897011948,1.1632561,0.902136414,2.2777281,0.73232636
1.1118032,0.63710955,0.8638125,0.761941078,0.9289984,0.830538698,0.9728462,0.811805816,1.9833573,0.690523
