CExp1,HExp1,CExp2,HExp2,CExp3,HExp3,CExp4,HExp4,CExp5,HExp5
3.7011142,3.612616166,4.0885236,3.989501294,4.1689072,3.798173355,3.627505,4.160834446,4.2674486,4.004464604
3.877183,3.694694346,3.6450568,3.640578247,3.8949052,3.768779914,4.0786983,3.961715451,4.5093761,3.827958272
4.7025512,3.626734507,3.7738394,3.750429606,4.1085862,4.315811415,3.9913198,4.056568045,4.1224076,4.006021575
3.5956038,3.747901429,3.8097619,3.681065352,4.0582975,3.820355647,4.461024,3.912390551,4.0953788,3.939721382
3.7408062,3.975827557,3.8713373,3.824102032,3.933515,3.818316002,4.2854184,3.971947264,4.2608808,4.114463448
5.5518438,4.012041497,4.0228165,3.751198292,3.9248261,3.998382895,3.9033441,3.67748743,4.213884,3.922635286
3.8642509,3.933025031,3.7159008,3.81751898,4.010837,3.721794277,3.9230397,4.241497952,4.1154257,3.701448102
5.4456914,3.595048219,4.0222485,3.918104942,3.9076423,3.856140631,3.8271486,4.335965742,4.3203759,3.9384316
4.0925914,3.758060657,4.1632302,3.902036713,3.7087971,3.905216742,3.6897609,3.549696391,3.9224797,3.822529762
4.969219,4.18771547,3.5620421,3.665604554,4.0181576,3.722415998,3.470562,3.975795439,4.5810738,3.711791775
4.0564767,4.2200707,3.666989,3.652205517,3.8556701,3.932159637,3.4959216,3.496850558,4.537551,3.849825068
4.2261973,3.864279551,3.92398,3.569714805,3.6709745,3.957434804,3.530215,4.299588947,4.4798516,3.900696034
4.2878947,3.802325094,3.8974074,3.913842515,4.1128141,4.072334753,3.9724895,3.780108132,4.8403601,3.82159515
4.8995444,3.855203459,3.9077542,4.083447518,3.8323749,4.109776169,3.9421075,4.046492709,4.6610433,3.939627865
4.1486702,3.457020626,3.8081209,3.770061425,3.8385901,3.858703323,3.8739522,4.488492073,5.0551036,3.773710046
4.7555286,3.773846876,4.0792447,3.946887877,3.7152227,3.961975208,4.2437851,4.401685677,4.3367429,3.925612636
4.2272138,4.09519191,4.2509521,3.821041303,3.9505265,3.866891644,4.2958809,4.440317907,4.2792586,3.935804846
4.1165831,3.677615479,3.6176797,3.827690105,4.1544689,3.599902944,3.2731031,3.689826812,4.3019293,3.662221878
3.2808039,3.645589473,4.271816,3.983667454,4.0975379,3.846650297,4.1478432,4.526181361,4.9901761,3.933726975
5.3196594,4.392285155,3.8135714,3.804171378,4.0530016,3.837515838,4.1192571,4.418518798,4.1729985,3.882930243
4.8960319,3.947788621,4.0831852,3.855936951,3.8456668,3.738245868,4.1681653,3.399104379,4.779311,3.598424003
3.6915471,4.133094139,3.7299066,3.756341899,3.909129,3.803509953,3.661158,3.494013843,4.5769585,3.84650826
4.6298397,3.849698202,4.5508499,3.838515101,3.8976642,3.929267206,4.1896278,3.536228654,4.1739986,3.837069053
3.8271084,3.842414697,4.0370636,3.619223422,4.289669,3.966280565,4.3246303,4.13407401,4.3348291,4.0070548
4.2862285,3.77521903,4.0177878,3.64851185,4.1436092,3.988007692,3.1183736,3.441924733,4.6070175,3.856724287
4.6585974,3.85447816,3.9025317,3.524973178,4.0186521,4.086637711,3.7231733,3.337563853,4.6098222,3.901799525
5.6691112,4.130220046,3.7481235,3.940202787,4.1634099,3.514858602,4.0173564,3.655749032,4.3779947,3.841132754
5.8194146,4.084370641,3.9395576,3.928379199,3.9354317,3.941060363,4.1077645,4.232753929,4.496705,3.776323498
3.9498768,3.823550668,4.3584728,3.832953676,3.992563,4.12790253,3.7686422,3.856183569,4.3073046,3.758902799
4.8643776,3.622689374,3.8762115,4.018383847,4.1093252,3.908470873,3.4875632,4.073187418,4.5307141,3.902540433
4.4285534,3.784213138,4.2065493,4.120192745,3.6861972,3.967437897,3.493855,3.683257964,4.616278,3.733987701
4.1060394,3.808890778,3.9683301,3.94177321,3.8842319,3.856623265,3.6666324,4.048045545,4.6106808,3.691453563
4.5963814,3.368906575,3.5043374,4.319136873,4.0116782,3.585242303,3.7950096,4.179627068,4.3163714,3.729144534
4.107851,3.916432659,3.9596681,4.05338758,3.94783,4.034809245,3.971974,3.734010791,5.1375663,4.119572424
4.3917633,3.869080701,3.7030524,3.874442619,3.8912476,4.118518734,3.8083598,3.93244592,5.1867649,3.774558994
4.1073617,3.699629575,4.1911388,3.682816118,4.0709038,3.874099955,4.1925555,3.623028969,4.1391689,3.89940502
3.7735491,3.551697033,4.1425781,3.579636562,3.9926892,3.985003446,3.8680894,4.365644876,4.8473166,4.025719669
3.4642758,3.938916555,3.9943878,4.00073842,4.0154482,3.703552299,3.8223304,3.580467111,4.5681359,3.818611906
4.930605,4.138511266,3.7668099,3.722078116,3.765769,3.544105797,3.6843518,3.779406791,4.715154,3.830932193
4.4177111,3.405287628,3.7253403,3.856646377,4.1487945,3.580737797,3.920023,4.333649968,4.663133,3.939233635
3.7905605,3.743332761,4.0838227,4.101468117,3.8970174,3.680417378,4.0035668,3.670731365,4.6697429,3.749029911
4.02808,4.247859313,3.8459707,3.768575878,4.0434923,3.664315179,4.0576118,3.965921374,4.4102096,3.73698297
4.6895943,4.234922243,3.6899399,3.845897753,3.9609915,3.807422088,4.0524363,3.954610762,4.4796931,3.59425239
5.152962,3.899087495,3.931882,3.805029967,3.9360326,3.992515586,4.0675592,4.107503784,4.3662634,3.874499808
4.4845908,3.871289277,4.099895,4.137588264,3.9084134,4.065598154,4.5977539,4.124721537,4.8575776,3.70947434
5.3888515,3.580277655,3.8181852,3.651241928,3.9026692,3.827195582,3.8072256,3.489147768,4.9729143,3.702825674
3.7651417,4.0005004,3.9555628,3.650329053,3.7714206,3.810789363,4.0115013,3.873383815,3.9576476,3.73653002
3.9609601,3.753309028,4.1523152,3.750016864,3.7829821,3.432947824,3.8386628,3.951493363,4.2261734,3.690059145
4.0167879,3.504406119,3.4988611,3.753242938,4.0992956,3.588613328,3.2248319,3.69746723,4.39766,3.860430791
4.274966,3.436639128,3.7176608,3.980494864,3.8964077,3.764071756,3.4841425,3.635777899,4.6547245,3.71799861
4.6333716,3.772170364,4.0428419,3.744432682,3.8634161,3.89989334,3.3666674,4.502056838,4.7776101,3.903354663
5.544966,3.809891166,4.1702235,3.811263192,3.867173,3.965549206,3.6888011,4.023954049,5.320891,4.12764647
3.6164838,3.850774875,3.7521164,3.735917372,3.7285969,3.756090932,3.5761581,4.494240694,4.1929237,3.818126679
3.8457753,4.004722553,3.9919525,3.468146464,3.789584,3.627382748,3.7033784,3.899166605,4.3419326,3.95517358
3.8793135,4.039309979,3.6918,3.972216414,4.0282571,3.965247817,3.9002129,4.300886498,4.742119,3.854648498
4.162258,3.743772731,3.9212428,3.764173956,3.8230493,3.748275049,3.7135373,3.860299249,4.1328444,3.965647505
4.8753363,3.609350017,3.9734437,3.78970542,4.0974789,3.951934542,3.9292862,3.548309747,4.6683987,3.83174949
