CExp1,HExp1,CExp2,HExp2,CExp3,HExp3,CExp4,HExp4,CExp5,HExp5
0.3398263,0.345882328,0.2999703,0.356401014,0.3207921,0.340858479,0.2657047,0.34882821,0.2863088,0.36698678
0.322965,0.342748982,0.2964096,0.343602154,0.3167388,0.337407411,0.3298984,0.3442047,0.2599688,0.3752566
0.2606198,0.375480524,0.3179272,0.372267207,0.3172443,0.332995729,0.3072789,0.361282374,0.2950616,0.357289226
0.3668531,0.348867828,0.3230389,0.340838984,0.3058128,0.346656142,0.301005,0.338894477,0.2929806,0.363327568
0.3496981,0.35674251,0.2983486,0.333887493,0.3190732,0.323259452,0.3093624,0.328239614,0.2282053,0.362683066
0.2483372,0.379075626,0.3364777,0.348154008,0.2913498,0.332215801,0.2905507,0.338244462,0.264571,0.376070993
0.2909233,0.371429577,0.3325069,0.342236648,0.3416066,0.338249943,0.3074317,0.319667269,0.2815667,0.371250653
0.2362489,0.35979314,0.3209177,0.353073312,0.3223649,0.323755068,0.3235123,0.305676469,0.2836301,0.373188555
0.3377812,0.389274975,0.3151424,0.335582746,0.299364,0.313437277,0.3459141,0.356497288,0.3036983,0.364955795
0.255486,0.346310978,0.3106066,0.328623248,0.3031688,0.317747674,0.3366237,0.281602534,0.2485306,0.385417733
0.3354884,0.357222519,0.3157127,0.364313565,0.3358741,0.337449255,0.3579823,0.354115319,0.272434,0.377052207
0.2999007,0.349671299,0.3287372,0.356252973,0.3196,0.314235637,0.318651,0.334088924,0.2782625,0.369012229
0.2974459,0.369693692,0.3262555,0.340854494,0.3179443,0.319391306,0.2981682,0.310051141,0.2710529,0.368996546
0.2675252,0.363630754,0.3073532,0.335067129,0.3383686,0.331164488,0.3005617,0.302549456,0.2823837,0.368367973
0.3033616,0.362411321,0.3176617,0.345899838,0.3001039,0.340356484,0.3233717,0.327137659,0.2675812,0.36822676
0.1709812,0.360056865,0.3370935,0.33536058,0.3151417,0.332861544,0.355392,0.330031107,0.2955423,0.375353463
0.3293627,0.359033493,0.3156276,0.343226478,0.32403,0.336525404,0.3373421,0.310204515,0.2545091,0.375447533
0.3056631,0.367366835,0.3319214,0.358913778,0.3338105,0.314831594,0.3439312,0.338867787,0.2678811,0.359995721
0.3566172,0.348243624,0.3224611,0.327365479,0.2965675,0.343762436,0.3462755,0.341534367,0.2579975,0.373968734
0.1596625,0.368062099,0.3315112,0.34893648,0.3108834,0.322025683,0.3245111,0.316546818,0.2917551,0.374264445
0.1625024,0.363542606,0.3478479,0.346450652,0.3374056,0.326583302,0.3469651,0.322795588,0.2086631,0.370066423
